date,small-low,small-2,small-high,big-low,big-2,big-high
1934-05-01,-7.7,-9.93,-12.27,-6.21,-8.32,-14.31
1934-06-01,3.62,-0.26,-2.38,2.61,2.38,3.26
1934-07-01,-18.3,-20.69,-24.57,-8.21,-11.9,-23.15
1934-08-01,12.07,8.86,11.52,6.56,4.35,5.72
1934-09-01,-2.15,0.43,-3.48,-0.39,-0.17,-0.05
1934-10-01,-1.07,-1.44,-3.92,-0.58,-2.76,-7.53
1934-11-01,20.09,15.42,12.95,10.39,5.01,10.85
1934-12-01,3.97,1.98,2.06,0.71,0.47,-2.25
1935-01-01,-6.74,-3.2,-3.52,-2.83,-2.99,-9.17
1935-02-01,-3.77,-4.21,-6.06,-0.85,-1.73,-13.11
1935-03-01,-5.6,-7.37,-11.52,-3.11,-3.3,-7.93
1935-04-01,6.76,8.42,10.61,7.84,9.95,13.11
1935-05-01,-2.28,1.32,1.59,3.26,4.4,4.06
1935-06-01,-3.39,6.52,0.34,5.82,5.72,8.09
1935-07-01,10.03,12.93,12.86,6.93,6.23,17.21
1935-08-01,3.66,9.03,15.63,2.5,2.24,3.35
1935-09-01,5.67,5.85,-1.94,4.43,0.7,1.84
1935-10-01,10.62,10.87,8.34,6.98,8,5.6
1935-11-01,6.83,9.75,19.69,2.88,5.62,14.56
1935-12-01,7.16,9.78,2.53,2.97,5.91,8.67
1936-01-01,10.74,8.58,23.29,2.78,9.48,12.01
1936-02-01,3.36,6.28,5.45,1.93,2.74,7.54
1936-03-01,-0.26,2.82,1.25,2.81,0.1,-1.48
1936-04-01,-14.65,-13.7,-15.86,-6.72,-8.28,-10.22
1936-05-01,5.01,4.98,8.67,4.71,5.11,6.55
1936-06-01,-2.76,0.8,-1.06,3.6,2.27,0.21
1936-07-01,10.22,7.76,10.48,5.64,6.73,11.23
1936-08-01,0.14,2.54,4.38,0.34,0.98,3.96
1936-09-01,2.49,5.04,4.3,1.48,0.84,0.89
1936-10-01,4.06,6.33,6.63,6.26,8.98,8.3
1936-11-01,11.31,9.13,11.97,3.76,2.86,-0.58
1936-12-01,2.13,3.35,5.78,-2.15,2.24,2.2
1937-01-01,7.28,7.07,9.56,3.62,1.46,6.67
1937-02-01,3.34,2.08,6.92,-0.24,0.57,8.45
1937-03-01,-3.36,0.02,0.8,-1.79,-0.25,7.05
1937-04-01,-9.63,-11.45,-13.48,-6.7,-6.11,-11.11
1937-05-01,0.32,-0.98,-4.68,-0.25,-0.8,-2.75
1937-06-01,-7.4,-7.44,-10.57,-4.16,-2.81,-7.62
1937-07-01,10.84,10.16,10.44,9.01,8.02,11.09
1937-08-01,-4.45,-5.23,-5.56,-4.38,-4.57,-7.93
1937-09-01,-20.68,-20.58,-23.08,-12.11,-12.87,-18.24
1937-10-01,-11.19,-9.75,-9.72,-10.02,-7.65,-14.23
1937-11-01,-11.87,-11.91,-12.12,-8.85,-7.59,-8.47
1937-12-01,-13.82,-10.69,-13.06,-3.75,-3.08,-7.12
1938-01-01,4.97,6.87,4.01,1.34,-0.13,-0.88
1938-02-01,8.79,5.94,4.66,5.92,5.68,5.71
1938-03-01,-29.96,-28.45,-30.39,-23.11,-22.51,-30.26
1938-04-01,21.86,20.47,20.42,13.34,14.42,15.76
1938-05-01,-7.27,-7.79,-5.68,-3.76,-3.67,-5.38
1938-06-01,31.41,29.88,28.07,25.59,20.97,29.24
1938-07-01,13.88,14.38,15.02,6.82,7.44,8.53
1938-08-01,-5.12,-5.23,-9.1,-0.58,-6.15,-5.14
1938-09-01,-2.07,-2.34,-2.79,1.26,0.52,-0.48
1938-10-01,14,15.33,16.36,6.79,6.98,14.97
1938-11-01,-5.69,-1.99,-6.29,-1.1,-2.17,-3.22
1938-12-01,5.33,4.4,1.86,3.23,4.49,8.3
1939-01-01,-7.79,-9.37,-9.9,-5.17,-6.31,-9.79
1939-02-01,3.5,5.11,6.41,3.31,2.9,7.13
1939-03-01,-18.22,-18.93,-23.14,-9.77,-13.54,-20.58
1939-04-01,-0.44,0.17,2.26,-0.17,-0.11,-2.4
1939-05-01,11.41,9.4,9.53,6.91,5.45,8.96
1939-06-01,-6.78,-8.31,-11.19,-4.41,-6.45,-10.8
1939-07-01,15.73,16.33,13.96,11.18,8.54,13.79
1939-08-01,-12.43,-11.84,-12.71,-6.11,-6.01,-10.85
1939-09-01,37.01,39.84,53.87,13.12,16.88,40.78
1939-10-01,0.57,-0.74,-4.67,0.17,-0.84,-4.32
1939-11-01,-7.98,-9.28,-13.28,-2.57,-3.7,-9.72
1939-12-01,5.96,2.61,0.24,3.67,2.4,1.05
1940-01-01,-4.48,-2.25,-2.65,-2.1,-2.52,-5.2
1940-02-01,4.24,3.99,2.9,1.01,1.46,1.47
1940-03-01,4.71,2.93,2.31,2.4,1.5,2.28
1940-04-01,4.42,3.2,4.15,0.06,-0.01,0.3
1940-05-01,-26.93,-27.33,-32.43,-21.88,-20.89,-24.74
1940-06-01,3.61,5,7.93,4.92,8.29,10.52
1940-07-01,5.28,4.84,3.46,3.42,3.06,3.23
1940-08-01,2.94,3.16,1.99,2.15,1.73,3.66
1940-09-01,6.08,4.86,4.82,3.12,1.2,1.03
1940-10-01,3.62,6.16,5.15,0.94,6.2,8.42
1940-11-01,0.2,0.62,0.27,-1.87,-1.33,-0.56
1940-12-01,-0.44,-1.04,-2.78,0.6,0.94,0.53
1941-01-01,-4.49,-2.91,0.1,-4.93,-3.81,-1.7
1941-02-01,-3.68,-1.73,-2.59,-1.85,-1.41,-0.42
1941-03-01,0.28,1.39,3.93,0.52,1.28,3.1
1941-04-01,-7.77,-5.65,-5.16,-6.3,-4.61,-1.91
1941-05-01,1.57,1.05,1.01,1.09,2.65,2.24
1941-06-01,4.69,6.35,8.52,6.22,5.56,3.14
1941-07-01,10.53,10.81,18.89,3.82,7.99,10.67
1941-08-01,-1.25,-1.99,-0.75,0.82,-0.99,-1.97
1941-09-01,-3.19,-1.8,-1.94,-0.06,-2.28,-1.26
1941-10-01,-5.91,-6.34,-6.22,-5.89,-3.43,-2.33
1941-11-01,-1.22,-3.54,-3.17,-2.08,-0.8,-1.04
1941-12-01,-5.69,-8.7,-12.55,-4.54,-3.76,-9.39
1942-01-01,7.03,10.3,14.97,-1.99,0.72,10.55
1942-02-01,0.62,-0.89,-1.94,-2.35,-2.86,-2.06
1942-03-01,-5,-3.37,-6,-5.97,-7.59,-5.76
1942-04-01,-6.37,-3.81,-3.83,-4.55,-4.33,-3.15
1942-05-01,0.32,2.63,1.2,7.45,5.03,0.53
